Area,age_min,age_max,age_mean,age_median,age_sd
West Side,4,34,18.956940874036,19,6.924290566793999
Middle,4,34,19.575506254751502,19,6.831327960725215
East,4,34,19.051622986294557,19,7.793427146206004
